,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
2939,0.0236,5510.0,30.93,75.87,1,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,410.3,526.477,-116.177,29.56,40.13661,16.83765
1623,-0.1578,6970.0,34.3,-79.73,11,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,801.7,609.524,192.176,23.35,32.12014,9.91029
3904,-0.1357,9580.0,44.87,20.33,25,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,343.2,531.363,-188.163,18.55714,30.01398,6.87157
1929,0.4724,3239.0,47.77,-104.27,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,209.6,427.573,-217.973,16.38,27.87413,3.00999
2497,-0.025,4000.0,-2.35,30.25,3,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,342.0,526.376,-184.376,24.825,26.99082,16.62827
3392,-0.1624,7524.0,-28.92,29.55,20,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,387.7,664.899,-277.199,8.77143,21.08856,3.85794
4307,0.2573,4520.0,51.33,-85.33,4,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,231.9,401.124,-169.224,10.68333,22.94786,-1.89181
2587,0.4288,1756.0,37.99,-100.82,1,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,349.6,555.808,-206.208,20.95,34.54738,3.92343
4121,-0.123,6830.0,40.8,-96.67,8,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,1027.5,504.866,522.634,18.36667,29.26888,4.1768
645,0.0,3600.0,45.5,-73.58,13,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,572.1,492.007,80.093,15.98333,27.16554,1.73544
1972,-0.052,38690.0,40.63,22.8,1,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,-20.3,436.493,-456.793,23.74,32.77048,12.7759
2628,-0.5153,1238.0,-19.58,31.23,11,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,440.5,651.133,-210.633,22.53333,28.11711,9.32528
3537,-0.0047,6625.0,35.55,110.13,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,258.9,412.508,-153.608,18.14,28.70729,-1.09092
3643,0.0211,4750.0,45.2,9.68,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,256.1,483.236,-227.136,15.73333,24.67301,5.33668
