yield_of_CT,Tmax,Tmin,Relative_yield_change
5181.0,35.06228,8.55298,-0.0293
7912.0,27.77336465,6.381276777,0.0166
4010.0,33.3985,8.79652,0.0798
6570.0,31.38396,-4.81392,-0.1689
4550.0,28.52332,9.11171,-0.178
4516.0,33.81494,5.66872,0.3333
6324.0,32.0074,8.61479,-0.0242
10533.0,31.98261,-5.42037,-0.0647
3390.0,26.13306,2.31443,-0.1622
9464.0,28.71078,5.11918,-0.026
4829.0,33.81494,5.66872,0.5457
10220.0,29.65326,4.89069,-0.1732
9683.0,28.13424,5.21823,-0.1658
3889.0,32.13412,3.14611,-0.0501
6847.0,32.42423,11.67686,-0.0321
5810.0,26.07689,2.89739,-0.1205
13500.0,28.37883,6.33503,-0.237
3490.0,27.22127,5.96513,0.0745
4536.0,29.26888,4.1768,-0.1338
1070.0,32.22831,17.98771,-0.4299
4946.0,30.64233,15.96019,0.0491
5340.0,24.19251,6.46757,-0.0517
7460.0,31.32285,8.86395,-0.0965
2700.0,34.2233,23.29779,0.0741
7595.0,32.34329,8.52078,-0.1119
9600.0,26.07689,2.89739,-0.0729
14400.0,32.77286,12.24747,-0.2708
10857.0,34.45457,5.2742,0.1229
5081.0,30.64233,15.96019,0.0159
12700.0,28.68951,5.74631,0.0394
13460.0,29.7984,7.28592,-0.0568
10000.0,34.95042,12.99181,0.66
7400.0,30.74134,3.73351,0.1351
8540.0,25.53342,10.18117,-0.0597
7370.0,31.51285,5.7009,-0.1588
9133.0,28.3571,1.87061,0.0907
1937.0,30.02162,2.66798,0.255
7460.0,21.32608,3.09542,0.181
12700.0,30.55226,2.8713,-0.1181
4432.0,30.64233,15.96019,0.0122
7800.0,23.78939,2.99278,0.1923
4619.0,24.17025,0.68001,0.0158
25100.0,34.86976,10.59911,-0.008
9716.0,28.13424,5.21823,-0.1758
9100.0,31.36946,6.17142,-0.0769
5400.0,31.54964,-0.20791,-0.1481
8680.0,32.23464,10.08076,-0.6532
12780.0,25.59155,2.9699,-0.3216
7760.0,28.17155,5.35148,-0.0915
8727.0,40.54478,18.49906,-0.0988
2800.0,26.44554,12.10658,-0.5357
8920.0,25.6416,10.45753,-0.704
9700.0,29.8668,4.74574,-0.0309
21900.0,31.09053,10.40166,-0.5251
10700.0,27.43294,2.39289,-0.0654
8553.0,28.04123,6.77226,-0.2909
7010.0,21.32608,3.09542,0.2568
4060.0,32.2319,7.10583,0.633
1700.0,26.6788,17.19974,-0.6471
6300.0,26.04839,-4.40017,-0.1587
7460.0,32.17956,5.23656,-0.1582
9720.0,29.70962,4.91865,-0.0176
10800.0,27.80017,7.15456,-0.2815
11700.0,30.0553,4.95569,-0.0513
11800.0,23.12823,4.51994,0.1271
6840.0,27.22127,5.96513,0.0219
10200.0,30.13879,5.57738,-0.049
8740.0,30.34392,15.63515,0.0343
12347.0,21.2642,1.92811,0.0104
9410.0,34.18875,26.68599,0.1052
